s, 0, 0, 3
s, 20, 0, 4
s, 80, 0, 3
s, 100, 0, 4
s, 80, 20, 3
s, 100, 20, 4
s, 0, 20, 3
s, 20, 20, 4
s, 100, 40, 3
s, 120, 40, 4
s, 0, 40, 3
s, 20, 40, 4
s, 20, 60, 3
s, 40, 60, 4
s, 40, 80, 3
s, 60, 80, 4
s, 120, 60, 3
s, 140, 60, 4
s, 140, 80, 3
s, 160, 80, 4
s, 60, 100, 3
s, 80, 100, 4
s, 160, 100, 3
s, 180, 100, 4
s, 160, 120, 3
s, 180, 120, 4
s, 60, 120, 3
s, 80, 120, 4
s, 40, 140, 3
s, 60, 140, 4
s, 20, 160, 3
s, 40, 160, 4
s, 0, 180, 3
s, 20, 180, 4
s, 160, 140, 4
s, 140, 140, 3
s, 120, 160, 3
s, 140, 160, 4
s, 100, 180, 3
s, 120, 180, 4
s, 0, 200, 3
s, 0, 220, 3
s, 100, 200, 3
s, 100, 220, 3
s, 120, 220, 4
s, 120, 200, 4
s, 20, 220, 4
s, 20, 200, 4
