b, 0, 120, G
b, 20, 140, G
b, 40, 160, G
b, 60, 180, G
b, 80, 200, G
b, 100, 220, G
b, 120, 240, G
b, 40, 20, G
b, 60, 40, G
b, 80, 60, G
b, 100, 80, G
b, 120, 100, G
b, 140, 120, G
b, 160, 140, G
b, 180, 160, G
b, 120, 260, G
b, 100, 280, G
b, 180, 340, G
b, 160, 360, G
b, 140, 380, G
b, 120, 400, G
b, 80, 300, G
b, 60, 320, G
b, 40, 340, G
b, 20, 360, G
b, 0, 380, G
b, 100, 420, G
b, 80, 440, G
b, 60, 460, G
b, 40, 480, G
s, 60, 200, 2
s, 40, 180, 2
s, 20, 160, 2
s, 0, 140, 2
s, 0, 100, 1
s, 20, 120, 1
s, 40, 140, 1
s, 60, 160, 1
s, 100, 240, 2
s, 80, 220, 2
s, 100, 200, 1
s, 120, 220, 1
s, 80, 180, 1
s, 40, 40, 2
s, 60, 60, 2
s, 80, 80, 2
s, 100, 100, 2
s, 120, 120, 2
s, 140, 140, 2
s, 160, 160, 2
s, 180, 180, 3
s, 180, 200, 3
s, 180, 220, 3
s, 180, 140, 1
s, 160, 120, 1
s, 140, 100, 1
s, 120, 80, 1
s, 100, 60, 1
s, 80, 40, 1
s, 60, 20, 1
s, 40, 0, 1
s, 20, 20, 3
s, 180, 240, 3
s, 180, 260, 3
s, 180, 280, 3
s, 180, 300, 3
s, 120, 280, 2
s, 180, 320, 3
s, 160, 340, 1
s, 100, 260, 1
s, 80, 280, 1
s, 60, 300, 1
s, 40, 320, 1
s, 100, 300, 2
s, 80, 320, 2
s, 140, 260, 4
s, 140, 240, 4
s, 60, 340, 2
s, 40, 360, 2
s, 20, 380, 2
s, 20, 340, 1
s, 0, 360, 1
s, 140, 360, 1
s, 120, 380, 1
s, 180, 360, 2
s, 160, 380, 2
s, 140, 400, 2
s, 120, 420, 2
s, 100, 400, 1
s, 80, 420, 1
s, 60, 440, 1
s, 20, 480, 3
s, 40, 460, 1
s, 40, 500, 2
s, 60, 480, 2
s, 80, 460, 2
s, 100, 440, 2
s, 0, 400, 2
