b, 60, 80, G
b, 80, 80, G
b, 100, 80, G
b, 120, 80, G
s, 140, 60, 1
s, 40, 60, 1
s, 40, 100, 2
s, 140, 100, 2
s, 160, 80, 4
s, 20, 80, 3
s, 80, 40, 2
s, 100, 40, 2
s, 80, 20, 1
s, 100, 20, 1
s, 80, 120, 1
s, 100, 120, 1
s, 100, 140, 2
s, 80, 140, 2
s, 120, 20, 2
s, 60, 20, 2
s, 60, 0, 1
s, 120, 0, 1
s, 120, 140, 1
s, 60, 140, 1
s, 60, 160, 2
s, 120, 160, 2
s, 140, 140, 1
s, 140, 160, 2
s, 160, 140, 1
s, 180, 120, 1
s, 180, 140, 2
s, 160, 160, 2
s, 40, 140, 1
s, 20, 140, 1
s, 40, 160, 2
s, 20, 160, 2
s, 0, 120, 1
s, 0, 140, 2
s, 140, 0, 1
s, 160, 0, 1
s, 40, 0, 1
s, 20, 0, 1
s, 20, 20, 2
s, 40, 20, 2
s, 140, 20, 2
s, 160, 20, 2
s, 0, 20, 1
s, 180, 20, 1
s, 180, 40, 2
s, 0, 40, 2
