b, 80, 80, G
b, 120, 80, G
b, 40, 80, G
b, 20, 80, G
b, 20, 100, G
b, 20, 120, G
b, 20, 140, G
b, 40, 140, G
b, 60, 140, G
b, 80, 140, G
b, 100, 140, G
b, 120, 140, G
b, 140, 140, G
b, 20, 20, G
b, 40, 20, G
b, 60, 20, G
b, 80, 20, G
b, 100, 20, G
b, 120, 20, G
b, 140, 20, G
b, 160, 80, G
b, 160, 100, G
b, 160, 120, G
b, 160, 140, G
b, 160, 20, G
s, 40, 120, 1
s, 60, 120, 1
s, 80, 120, 1
s, 100, 120, 1
s, 120, 120, 1
s, 140, 120, 1
s, 20, 40, 2
s, 40, 40, 2
s, 60, 40, 2
s, 80, 40, 2
s, 100, 40, 2
s, 120, 40, 2
s, 140, 40, 2
s, 0, 80, 3
s, 0, 100, 3
s, 0, 120, 3
s, 0, 140, 3
s, 20, 160, 2
s, 40, 160, 2
s, 60, 160, 2
s, 80, 160, 2
s, 100, 160, 2
s, 120, 160, 2
s, 140, 160, 2
s, 0, 20, 3
s, 20, 0, 1
s, 40, 0, 1
s, 60, 0, 1
s, 80, 0, 1
s, 100, 0, 1
s, 120, 0, 1
s, 140, 0, 1
s, 180, 140, 4
s, 180, 120, 4
s, 180, 100, 4
s, 180, 80, 4
s, 180, 20, 4
s, 160, 160, 2
s, 160, 40, 2
s, 160, 0, 1
